function	dimension	best	worst	avg	std
schwefel 2.13 problem	1	1.84124027833835e-21	0.01047062126	0.0003490223244	0.001879533736
schwefel 2.13 problem	2	1.01904662648165e-11	8.004406756	0.7571714297	1.866798908
schwefel 2.13 problem	5	122.7635827	6261.467108	2629.15511	1589.403354
schwefel 2.13 problem	10	7281.639315	103311.421	52001.94026	24698.85184
schwefel 2.13 problem	20	329680.8186	1005100.518	683747.1744	158072.7778
schwefel 2.13 problem	25	578705.9915	1487420.213	1073487.033	243657.0112
schwefel 2.13 problem	50	4526339.453	8413745.335	6667604.481	921158.7108
schwefel 2.13 problem	100	27939849.95	42035554.47	35658877.75	3573655.587
schwefel 2.13 problem	200	154761121	196600294.5	174872979.6	9740906.843
schwefel 2.13 problem	500	1159907317	1404988052	1322065896	48159353.32
