function	dimension	best	worst	avg	std
schwefel 2.13 problem	1	0.000000004399351617	0.4993546117	0.03794121573	0.1111173704
schwefel 2.13 problem	2	0.9096262179	343.8134403	31.05822031	64.77664291
schwefel 2.13 problem	5	232.5588835	20411.44741	7659.850419	4422.508916
schwefel 2.13 problem	10	45744.3947	153612.7834	94786.81593	26024.1893
schwefel 2.13 problem	20	586769.0714	1258386.513	874264.5062	178576.6664
schwefel 2.13 problem	25	925245.8169	3085750.531	1995157.355	485601.8584
schwefel 2.13 problem	50	6345786.356	10311074.6	8197106.429	964885.4853
schwefel 2.13 problem	100	34670105.57	46241389.34	41618827.69	3159497.107
schwefel 2.13 problem	200	175273975.4	222073935.6	201254059.2	10238321.29
schwefel 2.13 problem	500	1316426599	1483364458	1410799329	43825385.37
