function	dimension	avg	best	worst	std
ackley	1	5.1988283041500455e-08	7.571721027943568e-13	1.5545857228183024e-06	2.7902627000024135e-07
ackley	2	0.0007399952954976345	1.185547131576925e-07	0.012204213838473255	0.0023824648441660543
ackley	5	0.01958105984840926	0.0026208494178132646	0.16826714398294884	0.02902593674628481
ackley	10	0.03987475449633419	0.006081141429473025	0.09365117758511632	0.025755114616078302
ackley	20	0.055267189390645746	0.005964430854927816	0.14305608072258424	0.036776660927445325
ackley	25	0.046942139272216674	0.008602904697486924	0.18325212267570778	0.03717324336234141
ackley	50	0.06410011969378866	0.01620464760352691	0.1974711282897954	0.04259355385369905
ackley	100	0.04827557090113972	0.006304078852555239	0.12829665031694448	0.025584018454191972
ackley	200	0.052513403877957374	0.007004483958713781	0.12914070307524428	0.03326622997717623
ackley	500	0.06332732367533547	0.0072404024709382675	0.16545976285628372	0.031520787526236375
