function	dimension	avg	best	worst	std
griewank	1	3.7007434154171884e-18	0.0	1.1102230246251565e-16	1.9929113200939384e-17
griewank	2	0.00411216615083477	5.551115123125783e-16	0.009864672142169684	0.0038865520788516532
griewank	5	0.06650147735313414	0.009857714464843625	0.12558542975966347	0.030456658000954814
griewank	10	0.2573077329091194	0.031517811442578925	0.6667903680557865	0.16541609875423485
griewank	20	0.960548964092776	0.41740074167554664	1.055104603767107	0.14474733094347259
griewank	25	1.1806078542289629	1.0607687873390805	1.549904193388489	0.1164447039636125
griewank	50	9.579169808957472	5.0602680163636125	19.12328629883747	3.1647002274223963
griewank	100	60.91056082920638	43.86652367212199	73.9347737758251	8.296808276287095
griewank	200	144.37288228970252	132.0735294673572	153.44166217453522	4.627961176031759
griewank	500	381.18828118820346	358.2656066304884	393.79118310933404	8.700971979729609
