function	dimension	avg	best	worst	std
schwefel 1.2 problem	1	9.376829521779621e-08	0.0	2.4330438257963146e-06	4.376327253618561e-07
schwefel 1.2 problem	2	1.85052963172306e-05	2.2381050535488323e-11	0.00041503437165664805	7.424842639921079e-05
schwefel 1.2 problem	5	8.138397852513192e-05	9.769056875372797e-10	0.0006665049657168325	0.00017779880605273254
schwefel 1.2 problem	10	0.002149944809983728	5.3796512412889135e-09	0.036983576702010516	0.006743011144128473
schwefel 1.2 problem	20	0.005773013875172486	1.3458244718558141e-09	0.055721452946821376	0.012669798390222859
schwefel 1.2 problem	25	0.005819769799004254	7.464666680564898e-08	0.0618122652064807	0.013157110975289344
schwefel 1.2 problem	50	0.09267847995582243	1.5682515103742998e-07	1.2971115130354702	0.26776262825561975
schwefel 1.2 problem	100	0.9056596554420415	5.512661576147945e-06	12.762321466041811	2.440700609699949
schwefel 1.2 problem	200	12.062611985754959	0.00012290864257662117	273.7873875293045	49.1376615068649
schwefel 1.2 problem	500	19.389484200716105	3.4449187507725223e-06	383.2554968388541	69.025233190727
