function	dimension	avg	best	worst	std
griewank	1	0.00032882243248134603	0.0	0.009864672061006163	0.0017707628215744382
griewank	2	0.006278980082373787	8.559819519859957e-14	0.027125433089025597	0.007338311945130468
griewank	5	0.0073389880265441465	4.3295842200308243e-07	0.21937351527158133	0.03937385241634372
griewank	10	2.67918982390906e-05	1.122131975339613e-06	0.00010986913160715428	2.9657941320000443e-05
griewank	20	0.0001967578143917533	2.2755212203406927e-06	0.0018931283423018197	0.00036358738527993205
griewank	25	0.00016947124027280047	1.834818844859143e-06	0.001678024916103027	0.0003750456649197786
griewank	50	0.0002384100087667836	6.619058703249969e-06	0.0010914023691365182	0.0002539462739393346
griewank	100	0.000348130206732015	4.410583615443997e-06	0.001756499104170195	0.00044523938087440656
griewank	200	0.00032639831026426793	7.3570359809815855e-06	0.0025312189323574152	0.0004949021409873441
griewank	500	0.000600577795697684	9.612797339686452e-06	0.0025150975929743025	0.0005424911263137171
