function	dimension	avg	best	worst	std
discus	1	1.1858967067781685e-07	1.5021464263167083e-20	3.557477055999078e-06	6.385853571112347e-07
discus	2	0.14877033625685857	3.8008309223979606e-05	0.8719919807733869	0.23901334483380227
discus	5	0.32022843153460745	0.002303786036948238	2.725492900372168	0.550009038485688
discus	10	0.5867264279370148	0.007039001772823594	2.8918589845525156	0.767150320392883
discus	20	0.7979382000991023	0.01736651107373234	11.201567673711285	2.0015036183807076
discus	25	0.4615839051932222	0.008740923621812101	2.470765482422812	0.5278988966561439
discus	50	0.9465269813272511	0.008006482389295237	4.556107422323714	1.0646293986833233
discus	100	0.47519543047790974	0.05414794226428487	3.175814243614315	0.5783077584936385
discus	200	0.9149037813712477	0.03806799053167572	3.5581995178838337	0.8737968820979629
discus	500	0.8846292152886414	0.0065939814293680165	3.8268294063300314	0.8367979066585215
