function	dimension	avg	best	worst	std
schwefel 1.2 problem	1	4.3567899246904866e-21	1.5433009274605264e-27	4.925473578673604e-20	1.1284159971567195e-20
schwefel 1.2 problem	2	4.049951572569515e-14	3.140334927648412e-17	4.485169819830877e-13	8.639878382961771e-14
schwefel 1.2 problem	5	0.00028660517630221257	1.7817475517547907e-06	0.0013732866545885585	0.0003967822147399058
schwefel 1.2 problem	10	52.468573564365244	7.591447976115189	272.94233304235786	50.11222372216255
schwefel 1.2 problem	20	9260.507395789826	2637.4191241783124	22530.045707637044	4264.344839992034
schwefel 1.2 problem	25	19228.190417575915	8268.584902490156	36168.21057254095	7171.300425462812
schwefel 1.2 problem	50	137011.8108739904	52595.907479585556	315895.40191349504	54050.876981337926
schwefel 1.2 problem	100	668301.6455244116	328019.85469068296	1445101.5764271682	216549.27286584128
schwefel 1.2 problem	200	2925166.498092088	1570023.65541198	5896031.225592623	908909.7419718424
schwefel 1.2 problem	500	21905530.517729964	11287714.355367033	37285394.255855694	6968374.166983178
