function	dimension	avg	best	worst	std
discus	1	3.257879735196511e-15	1.750656956139694e-21	9.241669085805173e-14	1.656348563659398e-14
discus	2	1.1478101085016967e-10	2.5318054966404237e-14	9.69570235058695e-10	2.4162720462696045e-10
discus	5	5.0603312621461314e-05	1.6002073418737998e-06	0.00048496980748545017	9.086899261643495e-05
discus	10	0.7868161607889955	0.018544601517736525	4.436066306458527	1.1187602078299643
discus	20	804.6470500734977	77.34772199002128	3256.0452830816057	778.4521877000265
discus	25	2669.8986788685406	338.42767627553303	6208.310901872511	1428.2759211798266
discus	50	48954.62648092477	21770.802419128224	96122.1408903352	21848.952607859595
discus	100	247396.0523616535	147192.1239443648	463808.4122216658	83442.07071222721
discus	200	831313.0190859042	463997.2005888117	1619060.3298330617	274119.6365694534
discus	500	2045771.0391248306	1264447.0828437072	3336517.829030305	522943.11296595336
